scenario_time,value,rolling_avg
122.930862,0.683763,22.142267507777778
122.964901,0.399009,22.140424957777775
122.998037,0.186544,22.139082905555554
123.031458,0.302744,22.137782836666666
123.064657,1.430173,22.13879477888889
123.09784,1.141338,22.13947744
123.127801,2.079265,22.140082465555558
123.165105,1.908246,22.141189616666665
123.198226,1.769711,22.142043760000004
123.231487,1.67104,22.143714987777777
123.265085,1.618824,22.143800675555557
123.298186,2.092778,22.145165257777776
123.331208,1.850532,22.14657042222222
123.364824,1.62364,22.147637393333333
123.397366,1.418757,22.147874536666667
123.430954,1.245978,22.14809521222222
123.464784,1.119405,22.149249001111112
123.498274,1.054917,22.149115222222225
123.531516,1.796554,22.15004457
123.564637,1.525434,22.150836052222225
123.598174,1.259233,22.151760216666666
123.6314,1.001084,22.15139577555556
123.664911,0.758249,22.151293154444446
123.697952,0.550047,22.151515444444446
123.731454,0.428541,22.1509707
123.764947,1.704878,22.151897053333332
123.798135,1.432629,22.152458730000003
123.831261,1.163133,22.153346225555556
123.866512,0.898254,22.15272821222222
123.897326,0.642929,22.152982222222224
123.930552,1.889702,22.154116396666666
123.964516,1.754314,22.15476878111111
123.998286,1.651727,22.15561384
124.031632,2.243069,22.157723377777778
124.064928,1.991132,22.158402437777777
124.098181,1.744629,22.159559632222223
124.131449,1.506024,22.160608075555558
124.165121,1.27953,22.16053630111111
124.198428,1.072634,22.160873878888893
124.231597,0.898769,22.161273440000002
124.264621,0.780157,22.160675314444443
124.298258,1.77502,22.16175828111111
124.330889,1.505435,22.162950553333335
124.36481,1.23646,22.162856447777777
124.398051,0.96861,22.163241213333333
124.431407,0.703248,22.16330435111111
124.464903,0.44508,22.162533923333335
124.498079,0.221623,22.1620062
124.531469,1.783814,22.163378574444444
124.564715,2.390623,22.164837467777776
124.598051,2.127627,22.16667468777778
124.63151,1.86618,22.167886647777777
124.664797,1.60722,22.168723946666667
124.698103,1.352431,22.169683224444444
124.731135,1.105059,22.169441437777778
124.764799,0.871957,22.169729153333336
124.798308,0.668971,22.16969828111111
124.831553,0.532821,22.169205204444445
124.86472,1.664679,22.17024572222222
124.897933,1.409621,22.17106047111111
124.931196,1.165432,22.171237335555553
124.964929,0.941387,22.172016746666667
124.998334,1.865988,22.17256452777778
125.031457,1.63414,22.174161998888888
125.064751,1.417991,22.17451373888889
125.098256,1.226601,22.175210305555552
125.131326,1.074181,22.175515535555554
125.164742,1.79767,22.17641078222222
125.197961,1.514159,22.17742222
125.231142,1.231718,22.177816441111112
125.263678,0.952509,22.178208818888887
125.294921,0.682296,22.17807770888889
125.33076,0.440951,22.177709334444447
125.364867,1.788416,22.178691306666668
125.397856,1.581791,22.17930750888889
125.431204,2.244962,22.180809318888887
125.464682,1.945891,22.182137363333332
125.498046,1.645519,22.18312092888889
125.531311,1.344133,22.18386166777778
125.564861,1.042412,22.184191155555556
125.598186,0.742231,22.184138296666667
125.631307,0.450624,22.183692376666666
125.664777,0.216214,22.18279237777778
125.697967,1.707859,22.183533246666666
125.731113,2.301397,22.185321424444442
125.764659,1.985554,22.186486111111112
125.798121,1.668416,22.187832234444443
125.830365,1.350614,22.188184724444444
125.86436,1.033629,22.188898165555557
125.897919,0.523168,22.188094992222222
125.931168,1.366499,22.18897998555555
125.964618,1.154035,22.189472652222225
125.997987,1.831138,22.19055127
126.03126,1.502631,22.19174328777778
126.064942,1.175494,22.191725211111113
126.097887,0.854365,22.192235947777778
126.129993,0.554732,22.191842721111115
126.164912,0.347392,22.191487021111115
126.198271,1.582805,22.19244408222222
126.231231,1.382997,22.192822943333333
126.264372,1.857184,22.19409423
126.296993,1.498874,22.19501504666667
126.328612,1.137611,22.195268326666664
126.363437,0.773358,22.195686133333332
126.398004,0.406094,22.194767463333335
126.431344,0.036566,22.19422242111111
126.464587,0.337966,22.193814702222227
126.49817,2.121931,22.195143403333333
126.531056,1.750609,22.19660782888889
126.564667,1.381416,22.19705815777778
126.598086,1.020307,22.197540355555553
126.631102,0.685835,22.19741816666667
126.664608,0.451788,22.196794754444443
126.698521,1.556874,22.197478980000003
126.731259,1.215224,22.198290734444445
126.764624,1.957642,22.198985553333333
126.798069,1.613485,22.200575828888887
126.831339,1.304803,22.200922153333334
126.864753,1.067072,22.20132177888889
126.897657,1.7252,22.202661234444445
126.931246,1.30563,22.202658123333332
126.96484,0.883874,22.203069327777776
