joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_HIT,signal_detection_NONE,signal_detection_MISS
-0.75,-0.75,10.578611,1,1,-111,1,-111,0,0,0,0,0,0,0,0,8,7,5,7,0,0,0,1,0
-0.75,-0.75,10.651622,1,1,-112,1,-112,0,0,0,0,0,0,0,0,9,6,6,6,0,0,0,1,0
-0.75,-0.75,10.729023,1,1,-113,1,-113,0,0,0,0,0,0,0,0,8,5,5,7,0,0,0,1,0
-0.75,-0.75,10.810828,1,1,-114,1,-114,0,0,0,0,0,0,0,0,9,6,6,6,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-0.75,-0.75,10.897053,1,1,-115,1,-115,0,0,0,0,0,0,0,0,5,5,5,7,0,0,0,1,0
-0.75,-0.75,10.987712,1,1,-116,1,-116,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,1,0
-0.75,-0.75,11.082819,1,1,-117,1,-117,0,0,0,0,0,0,0,0,0,3,5,5,0,0,0,1,0
-0.75,-0.75,11.182388,1,1,-118,1,-118,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,1,0
-0.75,-0.75,11.286433,1,1,-119,1,-119,0,0,0,0,0,0,0,0,0,5,7,5,0,0,0,1,0
-0.75,-0.75,11.394967,1,1,-120,1,-120,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,1,0
-0.75,-0.75,11.508004,1,1,-121,1,-121,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,1,0
-0.75,-0.75,11.625557,1,1,-122,1,-122,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,1,0
-0.75,-0.75,11.747641,1,1,-123,1,-123,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,1,0
-0.75,-0.75,11.874268,1,1,-124,1,-124,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,1,0
-0.75,-0.75,12.005453,1,1,-125,1,-125,0,0,0,0,0,0,0,0,0,7,7,5,0,0,0,1,0
-0.75,-0.75,12.14121,1,1,-126,1,-126,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,1,0
-0.75,-0.75,12.281552,1,1,-127,1,-127,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,1,0
-0.75,-0.75,12.426495,1,1,-128,1,-128,0,0,0,0,0,0,0,0,0,6,6,4,0,0,0,1,0
-0.75,-0.75,12.576054,1,1,-129,1,-129,0,0,0,0,0,0,0,0,6,7,7,5,0,0,0,1,0
