joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,pump_1_flow,pump_2_flow,pump_3_flow,pump_4_flow,pump_5_flow,pump_6_flow,pump_7_flow,pump_8_flow,scale1,scale2,scale3,scale4,event_occured,reacted,signal_detection_0,signal_detection_FA,signal_detection_HIT,signal_detection_MISS
-2.0,-1.25,16.488703,1,1,-56,1,-56,0,0,0,0,0,0,0,0,4,6,6,4,0,0,1,0,0,0
-2.0,-0.5,15.223961,1,1,-57,1,-57,0,0,0,0,0,0,0,0,5,5,7,5,0,0,1,0,0,0
-2.0,-0.5,13.981514,1,1,-58,1,-58,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,0,0,0
-2.0,-0.5,12.751432,1,1,-59,1,-59,0,0,0,0,0,0,0,0,5,7,5,7,0,0,1,0,0,0
-2.0,-0.5,11.537829,1,1,-60,1,-60,0,0,0,0,0,0,0,0,4,6,6,6,0,0,1,0,0,0
-2.0,-0.5,10.346686,1,1,-61,1,-61,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
-2.0,-0.5,9.186958,1,1,-62,1,-62,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0,0
-2.0,-0.5,8.072445,1,1,-63,1,-63,0,0,0,0,0,0,0,0,7,3,3,3,0,0,1,0,0,0
-2.0,-0.5,7.024998,1,1,-64,1,-64,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0,0
-2.0,-0.5,6.079734,1,1,-65,1,-65,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
-2.0,-0.5,5.292116,1,1,-66,1,-66,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0,0
-2.0,-0.5,4.741851,1,1,-67,1,-67,0,0,0,0,0,0,0,0,3,5,5,3,0,0,1,0,0,0
-2.0,-0.5,4.517059,1,1,-68,1,-68,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0,0
-2.0,-0.5,4.665549,1,1,-69,1,-69,0,0,0,0,0,0,0,0,3,3,5,3,0,0,1,0,0,0
-2.0,-0.5,5.155647,1,1,-70,1,-70,0,0,0,0,0,0,0,0,4,4,6,4,0,0,1,0,0,0
-2.0,-0.5,5.903304,1,1,-71,1,-71,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
-1.25,-2.75,6.824771,1,1,-72,1,-72,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,0,0,0
-1.0,-2.75,5.712656,1,1,-73,1,-73,0,0,0,0,0,0,0,0,7,5,5,5,0,0,1,0,0,0
-1.0,-2.75,4.917445,1,1,-74,1,-74,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0,0
-1.0,-2.75,4.814472,1,1,-75,1,-75,0,0,0,0,0,0,0,0,5,3,5,3,0,0,1,0,0,0
-1.0,-2.75,5.445977,1,1,-76,1,-76,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0,0
-1.0,-2.75,6.606888,1,1,-77,1,-77,0,0,0,0,0,0,0,0,5,5,3,5,0,0,1,0,0,0
-1.0,-2.75,8.073893,1,1,-78,1,-78,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,0,0,0
-1.0,-2.75,9.710882,1,1,-79,1,-79,0,0,0,0,0,0,0,0,5,3,3,3,0,0,1,0,0,0
-1.0,-2.75,11.446582,1,1,-80,1,-80,0,0,0,0,0,0,0,0,6,4,4,4,0,0,1,0,0,0
-1.0,-2.75,13.243492,1,1,-81,1,-81,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,0,0,0
-1.0,-2.75,15.080871,1,1,-82,1,-82,0,0,0,0,0,0,0,0,6,4,6,6,0,0,1,0,0,0
-1.0,-2.75,16.946577,1,1,-83,1,-83,0,0,0,0,0,0,0,0,7,3,7,5,0,0,1,0,0,0
-1.0,-2.75,18.833121,1,1,-84,1,-84,0,0,0,0,0,0,0,0,6,4,6,6,0,0,1,0,0,0
-1.0,-2.75,20.735674,1,1,-85,1,-85,0,0,0,0,0,0,0,0,7,5,5,5,0,0,1,0,0,0
-1.0,-2.75,22.650998,1,1,-86,1,-86,0,0,0,0,0,0,0,0,6,6,4,6,0,0,1,0,0,0
-1.0,-2.75,24.576854,1,1,-87,1,-87,0,0,0,0,0,0,0,0,7,5,3,7,0,0,1,0,0,0
-1.0,-2.75,26.511648,1,1,-88,1,-88,0,0,0,0,0,0,0,0,6,6,4,6,0,0,1,0,0,0
-1.0,-2.75,28.454221,1,1,-89,1,-88,0,0,0,1,0,0,0,0,7,5,3,7,0,0,1,0,0,0
-1.0,-2.75,30.403711,1,1,-90,1,-88,0,0,0,1,0,0,0,0,6,6,4,6,0,0,1,0,0,0
-1.0,-2.75,32.359468,1,1,-91,1,-88,0,0,0,1,0,0,0,0,8,5,5,5,0,0,1,0,0,0
-1.0,-2.75,34.320996,1,1,-92,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
-1.0,-2.75,36.287909,1,1,-93,1,-88,0,0,0,1,0,0,0,0,10,5,7,5,1,0,1,0,0,0
-1.0,-2.75,38.259906,1,1,-94,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
-1.0,-2.75,40.23675,1,1,-95,1,-88,0,0,0,1,0,0,0,0,10,5,7,5,1,0,1,0,0,0
-1.0,0.5,42.218253,1,1,-96,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
-1.0,1.75,41.070825,1,1,-97,1,-88,0,0,0,1,0,0,0,0,8,5,7,3,1,0,1,0,0,0
0.0,5.25,38.7431,1,1,-98,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
0.0,5.25,32.814077,1,1,-99,1,-88,0,0,0,1,0,0,0,0,8,7,7,3,1,0,1,0,0,0
0.0,5.25,26.947194,1,1,-100,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
0.0,5.25,21.191276,1,1,-101,1,-88,0,0,0,1,0,0,0,0,10,5,7,3,1,0,1,0,0,0
0.0,5.25,15.665205,1,1,-102,1,-88,0,0,0,1,0,0,0,0,9,4,6,4,1,0,1,0,0,0
0.0,5.25,10.724441,1,1,-103,1,-88,0,0,0,1,0,0,0,0,8,5,7,5,1,0,1,0,0,0
0.0,5.25,7.602018,1,1,-104,1,-88,0,0,0,1,0,0,0,0,9,6,6,6,1,0,1,0,0,0
0.0,5.25,8.579281,1,1,-105,1,-88,0,0,0,1,0,0,0,0,10,5,5,5,1,0,1,0,0,0
0.5,4.0,12.740751,1,1,-106,1,-88,0,0,0,1,0,0,0,0,9,4,4,6,1,0,1,0,0,0
1.0,3.25,16.652307,1,1,-107,1,-88,0,0,0,1,0,0,0,0,8,5,3,5,1,0,1,0,0,0
1.0,3.25,20.147856,1,1,-108,1,-88,0,0,0,1,0,0,0,0,9,6,4,4,1,0,1,0,0,0
1.0,3.25,23.913272,1,1,-109,1,-88,0,0,0,1,0,0,0,0,10,7,5,3,1,0,1,0,0,0
0.75,7.75,27.837414,1,1,-110,1,-88,0,0,0,1,0,0,0,0,9,6,6,4,1,0,1,0,0,0
