joystick_x,joystick_y,center_deviation,cursor_in_target,a_in_tolerance,a_deviation,b_in_tolerance,b_deviation,"pump_1_flow, 1","pump_2_flow, 2","pump_3_flow, 3","pump_4_flow, 4","pump_5_flow, 5","pump_6_flow, 6","pump_7_flow, 7","pump_8_flow, 8",scale1,scale2,scale3,scale4,event_occured,response_time
0.25,-0.75,4.451316,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,3,3,0,0
0.25,-0.75,3.613115,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,4,4,0,0
0.25,-0.75,2.83977,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,7,5,5,0,0
0.25,-0.75,2.198308,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,6,6,0,0
0.25,-0.75,1.829919,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,5,7,0,0
0.25,-0.75,1.897782,1,1,-27,1,-29,0,1,0,1,0,0,0,0,4,6,6,6,0,0
0.25,-0.75,2.362324,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,5,5,7,0,0
0.25,-0.75,3.04543,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,6,0,0
0.25,-0.75,3.830506,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,7,3,7,0,0
0.25,-0.75,4.665183,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,6,0,0
0.25,-0.75,5.526032,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,7,3,5,0,0
0.25,-0.75,6.401634,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,4,0,0
0.25,-0.75,7.285908,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,7,5,3,0,0
0.25,-0.75,8.175356,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,6,4,0,0
0.25,-0.75,9.067836,1,1,-27,1,-29,0,1,0,1,0,0,0,0,5,7,5,3,0,0
0.25,-0.75,9.961969,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,4,0,0
0.25,-0.75,10.856826,1,1,-27,1,-29,0,1,0,1,0,0,0,0,7,5,3,5,0,0
0.25,-0.75,11.751763,1,1,-27,1,-29,0,1,0,1,0,0,0,0,6,6,4,6,0,0
